Cintas Corp, , CTAS, Business Services
Sutron Corporation, , STRN, Scientific & Technical Instruments
Teledyne Technologies Inc, , TDY, Scientific & Technical Instruments
Teledyne Technologies Inc., , TDY, Scientific & Technical Instruments
Telkonet, , TKOI, Scientific & Technical Instruments
Transcat Inc., , TRNS, Scientific & Technical Instruments
Transgenomic Inc., , TBIO, Scientific & Technical Instruments
Trimble Navigation Limited, , TRMB, Scientific & Technical Instruments
Trimble Navigation Ltd, , TRMB, Scientific & Technical Instruments
Vishay Precision Group, , VPG, Scientific & Technical Instruments
WaferGen Bio-systems, , WGBS, Scientific & Technical Instruments
Wasion Group Holdings Ltd, , 3393, Scientific & Technical Instruments
Winland Electronics Inc., , WELX, Scientific & Technical Instruments
XSUNX Inc., , XSNX, Scientific & Technical Instruments
Zygo Corp, , ZIGO, Scientific & Technical Instruments
Inficon Holding AG, , IFCN, Scientific & Technical Instruments
Ace Achieve Infocom Ltd, , A75, Wireless Communications
Acotel Group, , ACO, Wireless Communications
Acropolis Telecom, , ALACR, Wireless Communications
AcrossAsia Ltd., , 8061, Wireless Communications
Afone, , AFO, Wireless Communications
Alvarion Ltd., , ALVRQ, Wireless Communications
Amcom Telecommunications Ltd, , AMM, Wireless Communications
APT Satellite Holdings, , 1045, Wireless Communications
AT&T Inc, , AT, Wireless Communications
BD Multimedia SA, , ALBDM, Wireless Communications
Bigair Group Ltd, , BGL, Wireless Communications
Brasil Telecom SA, , BRP, Wireless Communications
CalAmp Corp., , CAMP, Wireless Communications
Captii Ltd, , U18, Wireless Communications
Cellcom Israel Ltd, , CEL, Wireless Communications
CenturyLink Inc, , CTL, Wireless Communications
China Treasure Mine, , MLTMT, Wireless Communications
Cincinnati Bell Inc, , CBB, Wireless Communications
Cistro Telelink Ltd, , 531775, Wireless Communications
CITIC 21CN Co., , 0241, Wireless Communications
Citic Telecom, , 1883, Wireless Communications
CITIC Telecom Internation, , 1883, Wireless Communications
Cleartronic, , CLRI, Wireless Communications
Comba Telecom Systems, , 2342, Wireless Communications
Daisy Group PLC, , DAY, Wireless Communications
Digerati Technologies, , DTGIQ, Wireless Communications
Directel Holdings Ltd., , 8337, Wireless Communications
DirectView Holdings, , DIRV, Wireless Communications
DTCOM - Direct To Co SA, , DTCY3, Wireless Communications
Easson Telecom Ltd, , MLEAS, Wireless Communications
ERF Wireless, , ERFB, Wireless Communications
Frontier Communications Corp, , FTR, Wireless Communications
Geos Communications, , GCMI, Wireless Communications
GINSMS Inc, , GOK, Wireless Communications
Glentel Inc, , GLN, Wireless Communications
Globalstar Inc., , GSAT, Wireless Communications
Hellenic Telecommunicatio, , HLTOY, Wireless Communications
HotCloud Mobile Inc., , HOTM, Wireless Communications
Hutchison Whampoa Ltd, , 0013, Wireless Communications
iiNET Ltd, , IIN, Wireless Communications
Iliad, , ILD, Wireless Communications
Inabox Group Ltd, , IAB, Wireless Communications
Indosat Tbk, , PTINY, Wireless Communications
Industrias J B Duarte SA, , JBDU4, Wireless Communications
Inepar Telecomunicacoes SA, , INET3, Wireless Communications
Inteliquent Inc, , IQNT, Wireless Communications
Inteliquent, , IQNT, Wireless Communications
InterDigital Inc, , IDCC, Wireless Communications
InterDigital, , IDCC, Wireless Communications
iPass Inc, , IPAS, Wireless Communications
Iridium Communications Inc, , IRDM, Wireless Communications
iTalk Inc., , TALK, Wireless Communications
JSFC Sistema, , JSFCF, Wireless Communications
KDDI Corp, , 9433, Wireless Communications
KeyOn Communications Holdings, , KEYO, Wireless Communications
Keyyo, , ALKEY, Wireless Communications
Kingtone Wirelessinfo, , KONE, Wireless Communications
Knology, , KNOL, Wireless Communications
Lantrovision S Ltd., , Q7W, Wireless Communications
M2 Group Ltd, , MTU, Wireless Communications
Macquarie Telecom Group Ltd, , MAQ, Wireless Communications
magicJack VocalTec Ltd, , CALL, Wireless Communications
Magyar Telekom PLC, , MGYTF, Wireless Communications
Manitoba Telecom Services Inc, , MBT, Wireless Communications
Megafon OJSC, , MFON, Wireless Communications
Meru Networks, , MERU, Wireless Communications
Mint Wireless Ltd, , MNW, Wireless Communications
MNC Media Investment Ltd, , LTONY, Wireless Communications
Mnemon Ltd, , MNZ, Wireless Communications
Mobile Telesystems OJSC, , MBT, Wireless Communications
My Net Fone Ltd, , MNF, Wireless Communications
Netel Technology holdings, , 8256, Wireless Communications
Nettlinx Ltd, , 511658, Wireless Communications
NeuStar Inc, , NSR, Wireless Communications
NII Holdings Inc, , NIHDQ, Wireless Communications
NII Holdings Inc., , NIHDQ, Wireless Communications
Nortel Inversora SA, , NTL, Wireless Communications
Novatel Wireless Inc, , NVTL, Wireless Communications
NTELOS Holdings Corp., , NTLS, Wireless Communications
Numericable Group SA, , NUM, Wireless Communications
Partner Communications Co Ltd, , PTNR, Wireless Communications
PCTEL, , PCTI, Wireless Communications
Philippine Long Distance, , PHI, Wireless Communications
Phonetime Inc., , TEL, Wireless Communications
Platinum Communications Corp, , PCS, Wireless Communications
Portugal Telecom SA, , PT, Wireless Communications
Portugal Telecom, , PT, Wireless Communications
Prosten Tech., , 8026, Wireless Communications
Proto Developers & Techno, , 530069, Wireless Communications
Proxim Wireless Corporation, , PRXM, Wireless Communications
Quadrant Televentures Ltd, , 511116, Wireless Communications
Retelit, , EAEN, Wireless Communications
RigNet, , RNET, Wireless Communications
SBA Communications Corp, , SBAC, Wireless Communications
Shenandoah Telecommunicat, , SHEN, Wireless Communications
Sify Technologies Ltd, , SIFY, Wireless Communications
SITO Mobile Ltd., , SITO, Wireless Communications
SpeedCast International Ltd, , SDA, Wireless Communications
Spok Holdings, , USMO, Wireless Communications
Sprint Corporation, , S, Wireless Communications
TalkTalk Telecom Group PLC, , TALK, Wireless Communications
TeleChoice International Ltd, , T41, Wireless Communications
Telecom Argentina SA, , TEO, Wireless Communications
Telecom plus PLC, , TEP, Wireless Communications
Telehop Communications Inc, , HOP, Wireless Communications
Telenor ASA, , TELNY, Wireless Communications
Tilting Capital Corp, , TLLZF, Wireless Communications
Tim Holding Company, , 1900, Wireless Communications
TPG Telecom Ltd, , TPM, Wireless Communications
tw telecom inc, , TWTC, Wireless Communications
Ubiquiti Networks, , UBNT, Wireless Communications
Unilava Corporation, , UNLA, Wireless Communications
Uniserve Communications Corp, , USS, Wireless Communications
United States Cellular Corp, , USM, Wireless Communications
United States Cellular Corpora, , USM, Wireless Communications
UTStarcom Holdings Corp., , UTSI, Wireless Communications
Verizon Communications Inc, , VZ, Wireless Communications
VimpelCom Ltd, , VIP, Wireless Communications
VimpelCom Ltd., , VIP, Wireless Communications
Virtutone Networks Inc, , VFX, Wireless Communications
Vodacom Group Ltd, , VOD, Wireless Communications
Voltari Corp, , VLTC, Wireless Communications
Vonage Holdings Corp, , VG, Wireless Communications
Vopium AS, , MLVOP, Wireless Communications
World Reach Ltd, , WRR, Wireless Communications
8x8 Inc, , EGHT, Wireless Communications
Infosat, , MLSAT, Wireless Communications
Addvalue Technologies Ltd, , A31, Communication Equipment
Adtran Inc, , ADTN, Communication Equipment
ADTRAN Inc., , ADTN, Communication Equipment
Aerohive Networks, , HIVE, Communication Equipment
AirTouch Communications, , ATCH, Communication Equipment
Alcatel-Lucent, , ALU, Communication Equipment
Allot Communications Ltd., , ALLT, Communication Equipment
Alpha Systems Inc., , GE, Communication Equipment
AmpliTech Group, , AMPG, Communication Equipment
Andrea Electronics Corporation, , ANDR, Communication Equipment
Anittel Group Ltd, , AYG, Communication Equipment
Aruba Networks Inc, , ARUN, Communication Equipment
AudioCodes Ltd, , AUDC, Communication Equipment
AudioCodes Ltd., , AUDC, Communication Equipment
Avantel Ltd, , 532406, Communication Equipment
Aviat Networks Inc, , AVNW, Communication Equipment
Aviat Networks, , AVNW, Communication Equipment
Axia Netmedia Corp, , AXX, Communication Equipment
Aztech Group Ltd, , 560, Communication Equipment
Barracuda Networks, , CUDA, Communication Equipment
BATM Advanced Comms, , BVC, Communication Equipment
Baylin Technologies Inc, , BYL, Communication Equipment
Black Box Corp, , BBOX, Communication Equipment
BlackBerry Ltd, , BBRY, Communication Equipment
Blackline GPS Corporation, , BLN, Communication Equipment
Blonder Tongue Laboratories In, , BDR, Communication Equipment
CalAmp Corp, , CAMP, Communication Equipment
Calix Inc., , CALX, Communication Equipment
Calix, , CALX, Communication Equipment
CCT Fortis Holdings Ltd, , 0138, Communication Equipment
Centron Telecom, , 1155, Communication Equipment
Centron Telecom Intl, , 1155, Communication Equipment
Ceragon Networks Ltd, , CRNT, Communication Equipment
Ceragon Networks Ltd., , CRNT, Communication Equipment
Chengdu PUTIAN Telecomms, , 1202, Communication Equipment
China All Access holdings, , 0633, Communication Equipment
China TechFaith Wireless, , CNTF, Communication Equipment
China Trends Holdings Ltd., , 8171, Communication Equipment
Ciena Corp, , CIEN, Communication Equipment
Ciena Corporation, , CIEN, Communication Equipment
Cisco Systems Inc, , CSCO, Communication Equipment
Clearfield Inc, , CLFD, Communication Equipment
Clearfield, , CLFD, Communication Equipment
ClearOne, , CLRO, Communication Equipment
COM DEV International Ltd, , CDV, Communication Equipment
Comarco, , CMRO, Communication Equipment
CommScope Holding Company, , COMM, Communication Equipment
CornerWorld Corporation, , CWRL, Communication Equipment
Dialogic, , DLGC, Communication Equipment
Digi International, , DGII, Communication Equipment
Digital Development Partners, , DGDM, Communication Equipment
DragonWave Inc, , DRWI, Communication Equipment
DragonWave Inc., , DRWI, Communication Equipment
Echelon Corp, , ELON, Communication Equipment
EchoStar Corp., , SATS, Communication Equipment
EI Towers SpA, , EIT, Communication Equipment
Elektrobit Group Oyj, , EBTTF, Communication Equipment
Enablence Technologies Inc, , ENA, Communication Equipment
Enablence Technologies Inc., , ENA, Communication Equipment
Envivio, , ENVI, Communication Equipment
Eventure Interactive, , EVTI, Communication Equipment
Evertz Technologies Ltd, , ET, Communication Equipment
EVS Broadcast Equipment, , EVS, Communication Equipment
Ezenia! Inc., , EZENQ, Communication Equipment
Finisar Corp, , FNSR, Communication Equipment
Franklin Wireless Corp., , FKWL, Communication Equipment
G R Cables Ltd, , 517564, Communication Equipment
Gilat Satellite Networks Ltd, , GILT, Communication Equipment
Gilat Satellite Networks Ltd., , GILT, Communication Equipment
Global Invacom Group Ltd, , QS9, Communication Equipment
Great World Holdings, , 8003, Communication Equipment
Ground Properties Co Ltd, , 0989, Communication Equipment
GTX Corp, , GTXO, Communication Equipment
Harris Corporation, , HRS, Communication Equipment
Hengxin Technology Ltd, , I85, Communication Equipment
Hengxin Technology Ltd., , I85, Communication Equipment
Hipcricket, , HIPP, Communication Equipment
HL Technology Group Limited, , 1087, Communication Equipment
HMS Networks AB, , HMS, Communication Equipment
Ikanos Communications, , IKAN, Communication Equipment
Iteris, , ITI, Communication Equipment
JDS Uniphase Corporation, , JDSU, Communication Equipment
Knowles Corporation, , CSE, Communication Equipment
KTL Global Ltd, , EB7, Communication Equipment
KVH Industries Inc., , KVHI, Communication Equipment
Lantronix Inc, , LTRX, Communication Equipment
Location Based Technologies, , LBAS, Communication Equipment
Longcheer Holdings Ltd, , L28, Communication Equipment
Loral Space & Communications, , LORL, Communication Equipment
Mavenir Systems, , MVNR, Communication Equipment
MERU Networks Inc, , MERU, Communication Equipment
Mitel Networks Corp, , MITL, Communication Equipment
Mitel Networks Corporation, , MITL, Communication Equipment
NeraTelecommunications Ltd, , N01, Communication Equipment
Netcom Wireless Ltd, , NTC, Communication Equipment
Netgear Inc, , NTGR, Communication Equipment
Netgear Inc., , NTGR, Communication Equipment
Next-Generation Satellite, , B07, Communication Equipment
Nokia Corporation, , NOK, Communication Equipment
Nokia Oyj, , NOK1V, Communication Equipment
Novra Technologies Inc, , TDY, Communication Equipment
Numerex Corp., , NMRX, Communication Equipment
O-Net Communications Group, , 0877, Communication Equipment
Oplink Communications Inc, , OPLK, Communication Equipment
Optical Cable Corp, , SNE, Communication Equipment
Optical Cable Corp., , SNE, Communication Equipment
Option NV, , JNJ, Communication Equipment
Parrot, , PARRO, Communication Equipment
Patriot Scientific Corp., , PTSC, Communication Equipment
PCTEL Inc, , PCTI, Communication Equipment
Plantronics, , PLT, Communication Equipment
Pointer Telocation Ltd., , PNTR, Communication Equipment
Polycom Inc, , PLCM, Communication Equipment
Polycom, , PLCM, Communication Equipment
PositiveID Corporation, , PSID, Communication Equipment
Punjab Communications Ltd, , 500346, Communication Equipment
Qualcomm Inc, , QCOM, Communication Equipment
RELM Wireless Corp., , RWC, Communication Equipment
RiT Technologies Ltd., , RITT, Communication Equipment
Sandmartin International, , 0482, Communication Equipment
Sangoma Technologies Corp, , STC, Communication Equipment
Screen Service, , YHOO, Communication Equipment
Shin Corporation, , 9926, Communication Equipment
ShoreTel Inc, , SHOR, Communication Equipment
ShoreTel, , SHOR, Communication Equipment
Sierra Wireless Inc, , SWIR, Communication Equipment
Sonus Networks Inc, , SONS, Communication Equipment
Sonus Networks, , SONS, Communication Equipment
Super Micro Computer Inc, , SMCI, Communication Equipment
Tai Sin Electric Ltd, , 500, Communication Equipment
Technical Communications Corpo, , TCCO, Communication Equipment
Telecom Design, , MLTED, Communication Equipment
TeleEye Holdings Ltd., , 8051, Communication Equipment
Teleste Oyj, , TLT1V, Communication Equipment
Telestone Technologies Corp., , TSTC, Communication Equipment
TelVue Corp., , TEVE, Communication Equipment
TESSCO Technologies Inc., , TESS, Communication Equipment
Tonna Electronique, , TONN, Communication Equipment
Turtle Beach Corporation, , HEAR, Communication Equipment
Txcom, , ALTXC, Communication Equipment
u-Blox Holding AG, , UBXN, Communication Equipment
Valiant Communications Ltd, , 526775, Communication Equipment
Viasat Inc, , VSAT, Communication Equipment
ViaSat Inc., , VSAT, Communication Equipment
Vitec Group (The) PLC, , VTC, Communication Equipment
Vocera Communications, , VCRA, Communication Equipment
Vocus Communications Ltd, , VOC, Communication Equipment
Wavenet International Ltd, , WAL, Communication Equipment
Westell Technologies Inc, , WSTL, Communication Equipment
Westell Technologies, , WSTL, Communication Equipment
Wi2Wi Corp, , ISR, Communication Equipment
Wireless Telecom Group Inc., , WTT, Communication Equipment
World Surveillance Group Inc., , WSGI, Communication Equipment
Xi'an Haitian Antenna, , 8227, Communication Equipment
Z-Obee Holdings Limited, , 0948, Communication Equipment
Z-Obee Holdings Ltd, , 0948, Communication Equipment
Zhone Technologies Inc, , ZHNE, Communication Equipment
Zhone Technologies Inc., , ZHNE, Communication Equipment
Zoom Technologies Inc, , ZOOM, Communication Equipment
ZOOM Technologies, , ZOOM, Communication Equipment
ZST Digital Networks, , ZSTN, Communication Equipment
3D Icon Corporation, , DHR, Communication Equipment
8Telecom International, , E25, Communication Equipment
Infinera Corp, , INFN, Communication Equipment
Infinera Corporation, , INFN, Communication Equipment
Infoblox Inc., , BLOX, Communication Equipment
Infosonics Corp., , IFON, Communication Equipment
Consorteum Holdings, , CSRH, Processing Systems & Products
EDCI Holdings, , EDCI, Processing Systems & Products
On Track Innovations Ltd., , OTIV, Processing Systems & Products
Sajan, , SAJA, Processing Systems & Products
Competitive Companies, , CCOP, Long Distance Carriers
General Communication Inc., , GE, Long Distance Carriers
Lightyear Network Solutions, , LYNS, Long Distance Carriers
Zoom Telephonics, , ZMTP, Long Distance Carriers
Alaska Communications Systems, , ALSK, Telecom Services - Domestic
Alteva, , ALTV, Telecom Services - Domestic
AT&T, , AT, Telecom Services - Domestic
Atlantic Tele-Network, , ATNI, Telecom Services - Domestic
BCE, , BCE, Telecom Services - Domestic
Cellcom Israel Ltd., , CEL, Telecom Services - Domestic
CenturyLink, , CTL, Telecom Services - Domestic
Cincinnati Bell Inc., , CBB, Telecom Services - Domestic
Enventis Corporation, , ENVE, Telecom Services - Domestic
Fairpoint Communications, , FRP, Telecom Services - Domestic
Frontier Communications Corpor, , FTR, Telecom Services - Domestic
InterMetro Communications Inc., , IMTO, Telecom Services - Domestic
Inventergy Global, , INVT, Telecom Services - Domestic
magicJack VocalTec Ltd., , CALL, Telecom Services - Domestic
Otelco Inc., , OTT, Telecom Services - Domestic
Shenandoah Telecommunications, , SHEN, Telecom Services - Domestic
TW Telecom Inc., , TWTC, Telecom Services - Domestic
Verizon Communications Inc., , VZ, Telecom Services - Domestic
CelLynx Group, , CYNX, Telecom Services - Foreign
iPass Inc., , IPAS, Telecom Services - Foreign
Millicom International Cellula, , MIICF, Telecom Services - Foreign
New ULM Telecom Inc., , NULM, Telecom Services - Foreign
Nortel Inversora S.A., , NTL, Telecom Services - Foreign
Philippine Long Distance Telep, , PHI, Telecom Services - Foreign
Boingo Wireless, , WIFI, Diversified Communication Services
China Crescent Enterprises, , CCTR, Diversified Communication Services
Compliance Systems Corp., , DHR, Diversified Communication Services
deltathree, , DDDC, Diversified Communication Services
Global Crossing Ltd., , ASGXF, Diversified Communication Services
Glowpoint, , GLOW, Diversified Communication Services
Gogo Inc., , GOGO, Diversified Communication Services
GTT Communications, , GTT, Diversified Communication Services
Hawaiian Telcom Holdco, , HCOM, Diversified Communication Services
IDT Corporation, , IDT, Diversified Communication Services
Internet Gold Golden Lines Ltd, , IGLD, Diversified Communication Services
Iridium Communications Inc., , IRDM, Diversified Communication Services
Level 3 Communications, , LVLT, Diversified Communication Services
Lumos Networks Corp, , LMOS, Diversified Communication Services
Lumos Networks Corp., , LMOS, Diversified Communication Services
Mandalay Digital Group, , MNDL, Diversified Communication Services
Metrospaces, , MSPC, Diversified Communication Services
NeuStar, , NSR, Diversified Communication Services
Novatel Wireless Inc., , NVTL, Diversified Communication Services
ORBCOMM, , ORBC, Diversified Communication Services
Pegasus Tel Inc., , PTEL, Diversified Communication Services
Premiere Global Services, , PGI, Diversified Communication Services
Straight Path Communications I, , STRP, Diversified Communication Services
Telecom Argentina S.A., , TEO, Diversified Communication Services
Towerstream Corporation, , TWER, Diversified Communication Services
Voice Assist, , VSST, Diversified Communication Services
Voltari Corporation, , VLTC, Diversified Communication Services
Vonage Holdings Corporation, , VG, Diversified Communication Services
Worldwide Strategies Inc., , WWSG, Diversified Communication Services
WPCS International Incorporate, , WPCS, Diversified Communication Services
8x8 Inc., , EGHT, Diversified Communication Services
Beyond Commerce, , BYOC, Internet Service Providers
Bizzingo, , BIZZ, Internet Service Providers
Creditriskmonitor.com Inc., , CRMZ, Internet Service Providers
DataJack, , DJAK, Internet Service Providers
Delta Mutual, , DLTZ, Internet Service Providers
Fullnet Communications Inc., , FULO, Internet Service Providers
Grandparents.com, , GPCM, Internet Service Providers
HealthTalk Live, , HLTK, Internet Service Providers
HighLight Networks, , HNET, Internet Service Providers
HS3 Technologies, , HSTH, Internet Service Providers
IGEN Networks Corp., , IGEN, Internet Service Providers
India Ecommerce Corporation, , IEEC, Internet Service Providers
International Lottery & Totali, , ITSI, Internet Service Providers
IZEA, , IZEA, Internet Service Providers
Luxeyard, , LUXR, Internet Service Providers
Royal Invest International Cor, , RIIC, Internet Service Providers
Safe Technologies Internationa, , HON, Internet Service Providers
Sify Technologies Limited, , SIFY, Internet Service Providers
Sitestar Corp., , SYTE, Internet Service Providers
SmooFi, , SMFI, Internet Service Providers
SMTP, , SMTP, Internet Service Providers
TrueCar, , TRUE, Internet Service Providers
Trulia, , TRLA, Internet Service Providers
United Online, , UNTD, Internet Service Providers
Accelerize New Media, , ACLZ, Internet Information Providers
ACT360 Solutions Ltd, , AKM, Internet Information Providers
Adslot Ltd, , ADJ, Internet Information Providers
Akamai Technologies, , AKAM, Internet Information Providers
Alpha Network Alliance Venture, , ANAV, Internet Information Providers
Alphinat Inc, , NPA, Internet Information Providers
AOL Inc, , AOL, Internet Information Providers
AOL Inc., , AOL, Internet Information Providers
Armada Data Corp, , ARD, Internet Information Providers
Atrinsic, , ATRN, Internet Information Providers
Aufeminin, , FEM, Internet Information Providers
Autobytel Inc., , ABTL, Internet Information Providers
Autobytel, , ABTL, Internet Information Providers
Autohome Inc., , ATHM, Internet Information Providers
Baidu Inc, , BIDU, Internet Information Providers
Baidu, , BIDU, Internet Information Providers
Bankrate, , RATE, Internet Information Providers
Bilendi SA, , ALBLD, Internet Information Providers
Blucora Inc, , BCOR, Internet Information Providers
Blucora, , BCOR, Internet Information Providers
Borderfree, , BRDR, Internet Information Providers
CafePress Inc., , PRSS, Internet Information Providers
Care.com, , CRCM, Internet Information Providers
China Finance Online Co Ltd, , JRJC, Internet Information Providers
China Finance Online Co., , JRJC, Internet Information Providers
China.com Inc., , CCHMF, Internet Information Providers
Chineseinvestors.com, , CIIX, Internet Information Providers
Cni Research Ltd, , 512018, Internet Information Providers
Conversant Inc, , CNVR, Internet Information Providers
Conversant, , CNVR, Internet Information Providers
Criteo SA, , CRTO, Internet Information Providers
Dealertrack Technologies Inc, , TRAK, Internet Information Providers
Digital Magics S.p.A., , DM, Internet Information Providers
Engage Mobility, , ENGA, Internet Information Providers
Entreparticuliers SA, , ALENT, Internet Information Providers
Equinix Inc, , EQIX, Internet Information Providers
Facebook Inc, , FB, Internet Information Providers
Facebook, , FB, Internet Information Providers
Firefish, , FRFS, Internet Information Providers
Game Plan Holdings, , GPLH, Internet Information Providers
GO internet SpA, , DIS, Internet Information Providers
GoConnect Ltd, , GCK, Internet Information Providers
Google Inc, , GOOGL, Internet Information Providers
Google Inc., , GOOGL, Internet Information Providers
Groupon, , GRPN, Internet Information Providers
GrubHub Inc., , GRUB, Internet Information Providers
HomeAway, , AWAY, Internet Information Providers
IAC/InterActiveCorp, , IACI, Internet Information Providers
iBuy Group Ltd, , IBY, Internet Information Providers
Icar Asia Ltd, , ICQ, Internet Information Providers
Immediatek Inc., , IMKI, Internet Information Providers
Inception Technology Group, , ITGU, Internet Information Providers
iProperty Group Ltd, , IPP, Internet Information Providers
iSelect Ltd, , ILMN, Internet Information Providers
Ixia, , XXIA, Internet Information Providers
JD.com, , JD, Internet Information Providers
Jiayuan.com International Ltd., , DATE, Internet Information Providers
Jubii Europe NV, , LCY, Internet Information Providers
Keek Inc, , KEK, Internet Information Providers
Kiwibox.Com, , KIWB, Internet Information Providers
LeGuide.com SA, , ALGUI, Internet Information Providers
Limelight Networks Inc, , LLNW, Internet Information Providers
Limelight Networks, , LLNW, Internet Information Providers
LinkedIn Corp, , LNKD, Internet Information Providers
LiveDeal, , LIVE, Internet Information Providers
LookSmart Ltd, , LOOK, Internet Information Providers
LookSmart, , LOOK, Internet Information Providers
MC-link SpA, , MCK, Internet Information Providers
MeetMe, , MEET, Internet Information Providers
MMRGlobal, , MMRF, Internet Information Providers
Moneysupermarket.com Group PLC, , MONY, Internet Information Providers
Move, , MOVE, Internet Information Providers
Neocom Multimedia, , MLNEO, Internet Information Providers
Net Savings Link, , NSAV, Internet Information Providers
NetEase Inc, , NTES, Internet Information Providers
Netflix Inc, , NFLX, Internet Information Providers
Notrefamille.com SA, , ALNFA, Internet Information Providers
Onlineformapro, , MLONL, Internet Information Providers
Onstream Media Corp, , ONSM, Internet Information Providers
Onthehouse Holdings Ltd, , OTH, Internet Information Providers
Options Media Group Holdings, , OPMG, Internet Information Providers
Pacific Online Limited, , 0543, Internet Information Providers
Pacific Online Ltd, , 0543, Internet Information Providers
Pazoo, , PZOO, Internet Information Providers
Phoenix New Media Limited, , FENG, Internet Information Providers
Pitooey!, , PTOO, Internet Information Providers
Professional Diversity Network, , IPDN, Internet Information Providers
QuinStreet Inc, , QNST, Internet Information Providers
REA Group Ltd, , REA, Internet Information Providers
Reach Messaging Holdings, , RCMH, Internet Information Providers
Rediff.com India Limited, , REDF, Internet Information Providers
Rediff.com India Ltd, , REDF, Internet Information Providers
Relaxnews, , ALRLX, Internet Information Providers
Remark Media, , MARK, Internet Information Providers
Reworld Media, , ALREW, Internet Information Providers
Rightside Group, , NAME, Internet Information Providers
Shoply Ltd, , SHP, Internet Information Providers
SINA Corp, , SINA, Internet Information Providers
SLI Systems Ltd, , SLI, Internet Information Providers
Sohu.com Inc, , SOHU, Internet Information Providers
Sohu.com Inc., , SOHU, Internet Information Providers
SouFun Holdings Ltd., , SFUN, Internet Information Providers
Spark Networks Inc, , LOV, Internet Information Providers
SpectrumDNA, , SPXA, Internet Information Providers
Subaye, , SBAY, Internet Information Providers
SurePure, , SURP, Internet Information Providers
Symbid Corp., , SBID, Internet Information Providers
Synacor, , SYNC, Internet Information Providers
Taomee Holdings Ltd., , TAOM, Internet Information Providers
TechTarget Inc, , TTGT, Internet Information Providers
TechTarget, , TTGT, Internet Information Providers
Theglobe.com Inc., , TGLO, Internet Information Providers
TheStreet Inc, , TST, Internet Information Providers
TheStreet, , TST, Internet Information Providers
Timeless Software Ltd., , 8028, Internet Information Providers
Travelzoo Inc, , TZOO, Internet Information Providers
Travelzoo Inc., , TZOO, Internet Information Providers
Tucows Inc., , TCX, Internet Information Providers
Tucows, , TCX, Internet Information Providers
Tuto4pc.Com Group, , ALTUT, Internet Information Providers
Twitter Inc, , TWTR, Internet Information Providers
Twitter, , TWTR, Internet Information Providers
Union Technologies, , DOW, Internet Information Providers
United Online Inc, , UNTD, Internet Information Providers
Vacation Home Swap, , VCHS, Internet Information Providers
VeriSign, , VRSN, Internet Information Providers
Viadeo SA, , VIAD, Internet Information Providers
Vision Values Holdings Ltd., , 0862, Internet Information Providers
Vrway Communication SA, , VRW, Internet Information Providers
Web.com Group, , WWWW, Internet Information Providers
Weborama SA, , ALWEB, Internet Information Providers
Webxu, , WBXU, Internet Information Providers
Wix.com Ltd., , WIX, Internet Information Providers
Wotif.com Holdings Ltd, , WTF, Internet Information Providers
Yahoo! Inc, , YHOO, Internet Information Providers
Yahoo! Inc., , YHOO, Internet Information Providers
Yandex N.V., , YNDX, Internet Information Providers
Yandex NV, , YNDX, Internet Information Providers
Yelp Inc, , YELP, Internet Information Providers
Yelp, , YELP, Internet Information Providers
Youku Tudou Inc., , YOKU, Internet Information Providers
YY Inc., , YY, Internet Information Providers
58.com Inc., , WUBA, Internet Information Providers
Alternet Systems Inc., , ALYI, Internet Software & Services
Angie's List, , ANGI, Internet Software & Services
BroadVision, , BVSN, Internet Software & Services
Dealertrack Technologies, , TRAK, Internet Software & Services
Defentect Group, , DFTC, Internet Software & Services
Digital River Inc., , DRIV, Internet Software & Services
DigitalPost Interactive, , DGLPQ, Internet Software & Services
eLong Inc., , LONG, Internet Software & Services
Equinix, , EQIX, Internet Software & Services
Geeknet, , GKNT, Internet Software & Services
Innodata Inc., , INOD, Internet Software & Services
Internet Infinity Inc., , ITNF, Internet Software & Services
Interxion Holding NV, , INXN, Internet Software & Services
j2 Global, , JCOM, Internet Software & Services
Jacada Ltd., , JCDAF, Internet Software & Services
Ladybug Resource Group, , LBRG, Internet Software & Services
NetEase, , NTES, Internet Software & Services
OmniComm Systems Inc., , OMCM, Internet Software & Services
Propell Technologies Group, , PROP, Internet Software & Services
QuinStreet, , QNST, Internet Software & Services
QuoteMedia Inc., , QMCI, Internet Software & Services
Renren Inc., , RENN, Internet Software & Services
Salon Media Group Inc., , SLNM, Internet Software & Services
Selectica, , SLTC, Internet Software & Services
SNAP Interactive, , STVI, Internet Software & Services
Support.com, , SPRT, Internet Software & Services
Telenav, , TNAV, Internet Software & Services
The Ultimate Software Group, , ULTI, Internet Software & Services
Tremor Video, , TRMR, Internet Software & Services
Ubiquity, , UBIQ, Internet Software & Services
ViewCast.com Inc., , VCST, Internet Software & Services
VirnetX Holding Corp, , VHC, Internet Software & Services
CPFL Energia S.A., , CPL, Foreign Utilities
Enersis S.A., , ENI, Foreign Utilities
Abengoa Yield plc, , ABY, Electric Utilities
AES Elpa SA, , AELP3, Electric Utilities
Alerion CleanPower, , ARN, Electric Utilities
Alliant Energy Corp, , LNT, Electric Utilities
Alliant Energy Corporation, , LNT, Electric Utilities
Ameren Corp, , AEE, Electric Utilities
American Electric Power Co Inc, , AEP, Electric Utilities
American Electric Power Co., , AEP, Electric Utilities
APR Energy PLC, , APR, Electric Utilities
